"Inner_Iter",    "rms[Rho]"    ,       "CD"       ,       "CL"       ,       "CMz"      
           0,      -2.136308228,       3.779012067,     0.04991091421,     0.03556386202
           1,      -2.288353381,       3.429286821,     0.07494601814,     0.04844809231
           2,      -2.307810622,       3.123040564,     0.09634213031,     0.05916609162
           3,      -2.325666141,       2.853450001,      0.1145114517,     0.06798179285
           4,      -2.343407592,       2.614579616,      0.1298055329,     0.07513319942
           5,       -2.36178952,       2.401483927,      0.1425500986,     0.08085212232
           6,       -2.38102237,       2.210914782,      0.1531199081,     0.08538158503
           7,      -2.400939031,       2.040280232,      0.1618839986,     0.08894908715
           8,      -2.421241459,        1.88729326,      0.1691948752,     0.09176533681
           9,      -2.441635858,       1.749898858,      0.1753741252,     0.09401573586
          10,      -2.461895707,       1.626253699,      0.1806993757,     0.09585547875
          11,      -2.481857652,       1.514712593,      0.1853959292,     0.09740691151
          12,      -2.501417623,       1.413812827,      0.1896349346,     0.09876042709
          13,      -2.520502625,       1.322266033,      0.1935381949,      0.0999787112
          14,      -2.539029708,       1.238943609,       0.197185433,      0.1011015039
          15,      -2.556884682,       1.162860681,       0.200624629,      0.1021513827
          16,      -2.573889892,       1.093162658,      0.2038790883,      0.1031383527
          17,      -2.589812719,       1.029112848,      0.2069547166,      0.1040638105
          18,      -2.604403721,      0.9700789918,      0.2098458452,      0.1049236148
          19,      -2.617463441,      0.9155191337,      0.2125394585,      0.1057104599
          20,      -2.628915262,      0.8649701233,      0.2150188619,      0.1064156303
          21,      -2.638818908,      0.8180350621,       0.217266687,      0.1070305977
          22,      -2.647341822,      0.7743730293,      0.2192673321,      0.1075479213
          23,      -2.654693104,      0.7336895655,      0.2210087573,      0.1079620721
          24,      -2.661085994,      0.6957324649,      0.2224836944,      0.1082697162
          25,      -2.666744838,      0.6602776562,      0.2236910245,      0.1084700232
          26,      -2.671886895,      0.6271223681,      0.2246354631,       0.108564186
          27,      -2.676614527,      0.5960813395,      0.2253267757,      0.1085550412
          28,      -2.680714573,      0.5669862337,      0.2257796695,      0.1084474312
          29,      -2.683433038,      0.5396825272,      0.2260144327,       0.108249074
          30,      -2.683480506,      0.5140294877,      0.2260578948,      0.1079715053
          31,      -2.679517434,      0.4898977419,      0.2259442175,      0.1076308267
          32,      -2.670865287,      0.4671662547,       0.225715077,      0.1072478147
          33,      -2.657927092,      0.4457206229,       0.225418579,      0.1068467037
          34,      -2.641980079,      0.4254469237,      0.2251102496,      0.1064554413
          35,      -2.624436926,       0.406227654,      0.2248504273,      0.1061028856
          36,      -2.606150328,      0.3879362185,       0.224704309,      0.1058180615
          37,      -2.586443214,      0.3706440639,       0.224741676,       0.105632855
          38,      -2.565996434,      0.3546903107,      0.2250049889,      0.1055669824
          39,      -2.552010501,      0.3398105117,      0.2255047107,      0.1056173746
          40,      -2.544830123,       0.325785904,      0.2262500865,      0.1057875951
          41,      -2.537458188,      0.3124492079,      0.2272506181,      0.1060881794
          42,      -2.528449426,      0.2996732246,      0.2284956168,      0.1065184092
          43,      -2.517494895,      0.2873914542,      0.2299872724,       0.107088628
          44,      -2.503861476,      0.2755796602,      0.2317302635,      0.1078091391
          45,      -2.487756775,      0.2642447839,      0.2337317766,      0.1086889673
          46,      -2.469741146,      0.2534132202,      0.2360021984,       0.109735723
          47,      -2.450092623,      0.2431220998,      0.2385546348,      0.1109562042
          48,      -2.428901634,      0.2334048607,      0.2413971759,      0.1123522088
          49,      -2.406554628,      0.2242868246,      0.2445274213,      0.1139181277
          50,      -2.383804661,      0.2157865048,      0.2479381849,      0.1156465423
